mol_id,mean_nll,max_nll,n_atoms,ensemble_std,abs_error,seed_rmse,quadrant_label,is_wrong18,is_certain47,group
mobley_951560,17.573402404785156,31.03237533569336,16,0.234004,1.997906,2.0088387440886337,high_std_high_rmse,False,False,other
mobley_1922649,23.14480972290039,55.54520034790039,26,0.405325,1.413788,1.4595300797545074,high_std_high_rmse,False,False,other
mobley_8798016,22.03947639465332,34.06776809692383,13,0.0531,0.226773,0.2316932886304649,low_std_low_rmse,False,True,certain47
mobley_1858644,14.390052795410156,32.394588470458984,19,0.155363,0.333996,0.3617502589605155,high_std_low_rmse,False,False,other
mobley_9114381,28.606163024902344,47.826141357421875,12,0.172257,1.055807,1.0669892297064674,high_std_high_rmse,False,False,other
mobley_5311804,17.121002197265625,41.79878234863281,16,0.346868,0.632132,0.7041623019296048,high_std_high_rmse,False,False,other
mobley_6743808,16.098995208740234,26.723060607910156,19,0.151634,0.117543,0.1794735234428746,high_std_low_rmse,False,False,other
mobley_8789864,21.449848175048828,36.712745666503906,21,0.237006,2.118271,2.1288514874729048,high_std_high_rmse,False,False,other
mobley_7009711,17.69001579284668,32.88755798339844,19,0.950038,0.482528,0.9771854460558648,high_std_high_rmse,False,False,other
mobley_8789465,19.197053909301758,67.43548583984375,13,0.326033,0.217525,0.3638069054506802,high_std_high_rmse,False,False,other
mobley_2923700,14.96932315826416,27.430612564086914,19,0.250511,0.359722,0.4237976550211197,high_std_high_rmse,False,False,other
mobley_4780078,17.81695556640625,35.187381744384766,19,0.172715,0.282344,0.3218425767141444,high_std_low_rmse,False,False,other
mobley_5467162,16.229860305786133,36.76296615600586,25,0.251583,0.327724,0.3975402906908936,high_std_high_rmse,False,False,other
mobley_6257907,22.808807373046875,38.489864349365234,14,0.118418,0.617863,0.6268751502768308,low_std_high_rmse,True,False,gradient12
mobley_7913234,12.630851745605469,40.763797760009766,25,0.221598,1.011322,1.030560981242158,high_std_high_rmse,False,False,other
mobley_5518547,16.094934463500977,29.134510040283203,17,0.129328,0.160313,0.1976892501503303,low_std_low_rmse,False,True,certain47
mobley_4883284,15.019254684448242,29.33740997314453,14,0.120414,0.564867,0.5750428600626217,low_std_high_rmse,True,False,gradient12
mobley_5220185,19.933841705322266,30.95667839050293,16,0.182583,0.04786,0.1701756313013117,high_std_low_rmse,False,False,other
mobley_3359593,15.65084171295166,37.52008819580078,26,0.120754,0.714741,0.7228555905139008,low_std_high_rmse,True,False,isolated6
mobley_4683624,13.531319618225098,27.290639877319336,22,0.256089,0.461769,0.5154570331478658,high_std_high_rmse,False,False,other
mobley_1636752,32.2889289855957,54.549827575683594,6,0.102529,0.193523,0.2141510662242898,low_std_low_rmse,False,True,certain47
mobley_2310185,22.61548614501953,31.374670028686523,9,0.051176,0.208744,0.2137032383638581,low_std_low_rmse,False,True,certain47
mobley_3682850,14.582328796386719,28.46566390991211,17,0.04766,0.425507,0.4276365479532825,low_std_high_rmse,True,False,gradient12
mobley_1363784,18.81157112121582,26.170284271240234,17,0.188012,0.498597,0.5261914393583383,high_std_high_rmse,False,False,other
mobley_2837389,29.536396026611328,34.865596771240234,10,0.345705,0.869351,0.9227031278514228,high_std_high_rmse,False,False,other
mobley_9507933,17.95302963256836,25.878747940063477,17,0.143378,0.168151,0.2114725988779632,low_std_low_rmse,False,True,certain47
mobley_296847,18.299055099487305,22.780460357666016,11,0.19739,0.019711,0.1776475862487302,high_std_low_rmse,False,False,other
mobley_8208692,27.45868492126465,36.85948944091797,22,0.206995,1.309067,1.3220941025330235,high_std_high_rmse,False,False,other
mobley_4884177,17.233016967773438,26.843591690063477,17,0.172601,0.166916,0.2273622774059055,high_std_low_rmse,False,False,other
mobley_6714389,34.64645767211914,88.77593231201172,7,0.151935,0.445853,0.4661036424682819,high_std_high_rmse,False,False,other
mobley_2245668,15.901043891906738,30.817279815673828,15,0.075195,0.048121,0.0826981302968815,low_std_low_rmse,False,True,certain47
mobley_5973402,13.398457527160645,25.75086212158203,18,0.092795,0.234978,0.2492060130703111,low_std_low_rmse,False,True,certain47
mobley_3546460,8.892062187194824,22.87403678894043,21,0.050667,0.091769,0.1023486628324964,low_std_low_rmse,False,True,certain47
mobley_8311303,25.59282875061035,42.52522277832031,22,0.26472,0.981506,1.0096614257084402,high_std_high_rmse,False,False,other
mobley_9741965,25.21494483947754,52.50388717651367,20,0.209853,0.757753,0.7806533506271525,high_std_high_rmse,False,False,other
mobley_4603202,23.613046646118164,38.61638259887695,15,0.225738,0.010166,0.2021623587866939,high_std_low_rmse,False,False,other
mobley_628086,26.999496459960938,39.53119659423828,12,0.209038,0.181232,0.2603896620705209,high_std_low_rmse,False,False,other
mobley_4620651,19.946521759033203,29.341773986816406,15,0.095282,0.804883,0.8093821994102659,low_std_high_rmse,True,False,gradient12
mobley_7977115,11.145174026489258,24.73194122314453,21,0.107758,0.027464,0.1002181275768012,low_std_low_rmse,False,True,certain47
