mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi,source
A,randAll_equal,gradient12,12,0.0552811329924616,2.914390888888889,2.969672021881351,-0.41384180299009987,0.5938028063058072,this run
A,shrink_poolmean,Q_std,33,-6.303690276155118,10.464823232323232,4.161132956168114,-12.476812347741282,-1.8297304821729599,this run
A,shrink_poolmean,Q_nll,33,-6.065322364594745,10.275718616161617,4.210396251566872,-12.295465267563415,-1.569267024189915,this run
A,shrink_poolmean,UNION,50,-4.103266180329404,8.29369038,4.190424199670596,-8.275425759504152,-1.0654031056546804,this run
A,shrink_poolmean,all129,129,-1.6289596721675108,4.8358497519379835,3.2068900797704734,-3.312858212760722,-0.41693979747245113,this run
A,shrink_poolmean,gradient12,12,0.21713830234574596,2.914390888888889,3.1315291912346344,-0.27252383101517763,0.7434157245324703,this run
B,randElig_trust,Q_std,33,-6.118252095455574,10.464823232323232,4.3465711368676585,-12.467447812363035,-1.5545601930874284,this run
B,randElig_trust,Q_nll,33,-6.048528949261574,10.275718616161617,4.227189666900041,-12.357066752571347,-1.6084010154248967,this run
B,randElig_trust,UNION,50,-3.991822317030188,8.29369038,4.301868062969812,-8.180625532865287,-0.9225598478662722,this run
B,randElig_trust,all129,129,-1.4949723280614842,4.8358497519379835,3.3408774238765004,-3.1986134523518177,-0.2885548308022167,this run
B,randElig_trust,gradient12,12,0.31334208043103406,2.914390888888889,3.2277329693199235,-0.24603829558430468,0.9009605539362113,this run
B,randAll_trust,Q_std,33,-6.012418432584734,10.464823232323232,4.452404799738499,-12.255322526707884,-1.5493088789392246,this run
B,randAll_trust,Q_nll,33,-5.935857884147121,10.275718616161617,4.339860732014495,-12.032720255981824,-1.4790420561427755,this run
B,randAll_trust,UNION,50,-3.9122364171257913,8.29369038,4.381453962874209,-8.151914258128048,-0.8425222238060093,this run
B,randAll_trust,all129,129,-1.4897206480110827,4.8358497519379835,3.346129103926902,-3.186646984227818,-0.2915875245184523,this run
B,randAll_trust,gradient12,12,0.21550446177093752,2.914390888888889,3.129895350659826,-0.13624316560635188,0.6818144310474513,this run
B,randElig_equal,Q_std,33,-5.905531130144728,10.464823232323232,4.559292102178504,-12.083496798216963,-1.5204784320815024,this run
B,randElig_equal,Q_nll,33,-5.809058970027281,10.275718616161617,4.466659646134335,-12.039375120536508,-1.4423620421651224,this run
B,randElig_equal,UNION,50,-3.804985596937771,8.29369038,4.488704783062229,-8.013172326956953,-0.872462993037768,this run
B,randElig_equal,all129,129,-1.4743242878352212,4.8358497519379835,3.3615254641027628,-3.121028359058338,-0.2888335782978075,this run
B,randElig_equal,gradient12,12,0.347598868370062,2.914390888888889,3.261989757258951,-0.1756272011065811,0.9281150979992718,this run
B,randAll_equal,Q_std,33,-6.196883888520088,10.464823232323232,4.267939343803143,-12.25635439038652,-1.736704595549772,this run
B,randAll_equal,Q_nll,33,-5.816955870542351,10.275718616161617,4.458762745619265,-12.102005301090506,-1.3597917672574014,this run
B,randAll_equal,UNION,50,-3.9721564575773085,8.29369038,4.321533922422692,-8.237481573068063,-0.9899363048079655,this run
B,randAll_equal,all129,129,-1.5681832484726126,4.8358497519379835,3.2676665034653722,-3.2417042857919367,-0.3671820090383708,this run
B,randAll_equal,gradient12,12,0.05528113299246168,2.914390888888889,2.9696720218813506,-0.40962129927632984,0.6319154428349415,this run
B,shrink_poolmean,Q_std,33,-6.303690276155118,10.464823232323232,4.161132956168115,-12.586672132962146,-1.8884502856288514,this run
B,shrink_poolmean,Q_nll,33,-6.065322364594744,10.275718616161617,4.210396251566872,-12.174507729090529,-1.523087716818977,this run
B,shrink_poolmean,UNION,50,-4.103266180329405,8.29369038,4.190424199670597,-8.3660702594619,-1.1027719874530513,this run
B,shrink_poolmean,all129,129,-1.6289596721675108,4.8358497519379835,3.2068900797704734,-3.3357650639953227,-0.4394639522131121,this run
B,shrink_poolmean,gradient12,12,0.21713830234574594,2.914390888888889,3.1315291912346344,-0.26019553612195634,0.7352316908006149,this run
