mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi
A,shrink_lambda0.7,Q_nll,33,-4.482798240644041,10.275718616161615,5.792920375517577,-9.011419740731451,-1.1551534570802584
A,shrink_lambda0.7,UNION,50,-3.0287542315467944,8.293690380000001,5.264936148453205,-5.996566657313878,-0.8185731659435717
A,shrink_lambda0.7,all129,129,-1.2207244320259751,4.835849751937984,3.61512531991201,-2.440810490535691,-0.3391569324266906
A,shrink_lambda0.7,gradient12,12,0.07232217349790647,2.9143908888888888,2.9867130623867957,-0.2799904459565941,0.46687250076094644
B,shrink_lambda0.7,Q_std,33,-4.626284049272886,10.464823232323234,5.838539183050346,-9.036493783740275,-1.3531658865645222
B,shrink_lambda0.7,Q_nll,33,-4.482798240644041,10.275718616161615,5.792920375517577,-8.784070609457384,-1.1973289314717328
B,shrink_lambda0.7,UNION,50,-3.0287542315467944,8.293690380000001,5.264936148453205,-6.018063541053396,-0.8182987289744958
B,shrink_lambda0.7,all129,129,-1.2207244320259751,4.835849751937984,3.61512531991201,-2.4316101316307446,-0.34260133525142017
B,shrink_lambda0.7,gradient12,12,0.07232217349790636,2.9143908888888888,2.9867130623867957,-0.28375599803343815,0.47566149008508646
A,shrink_lambda0.8,Q_std,33,-5.286155416108353,10.464823232323234,5.17866781621488,-10.425256807542414,-1.581404652869587
A,shrink_lambda0.8,Q_nll,33,-5.1110422398356645,10.275718616161615,5.164676376325952,-10.171072341704429,-1.3861123611064883
A,shrink_lambda0.8,UNION,50,-3.4534106133383142,8.293690380000001,4.840279766661686,-7.012407483284563,-0.9537027206523178
A,shrink_lambda0.8,all129,129,-1.3825725090488579,4.835849751937984,3.453277242889127,-2.7692212564880805,-0.3790977586156324
A,shrink_lambda0.8,gradient12,12,0.12059421644718644,2.9143908888888888,3.0349851053360752,-0.25733116371516296,0.5475591356111622
B,shrink_lambda0.8,Q_std,33,-5.286155416108353,10.464823232323234,5.1786678162148805,-10.359008840462131,-1.6031661560106427
B,shrink_lambda0.8,Q_nll,33,-5.1110422398356645,10.275718616161615,5.164676376325952,-10.147222104259757,-1.3817019262995225
B,shrink_lambda0.8,UNION,50,-3.4534106133383142,8.293690380000001,4.840279766661686,-6.960417026188163,-0.982717191605151
B,shrink_lambda0.8,all129,129,-1.3825725090488579,4.835849751937984,3.453277242889127,-2.783137486179665,-0.3672495131010133
B,shrink_lambda0.8,gradient12,12,0.12059421644718626,2.9143908888888888,3.0349851053360752,-0.2635696376503845,0.5698508650296554
A,shrink_lambda0.9,Q_std,33,-5.944456453933929,10.464823232323234,4.520366778389303,-11.620715162812665,-1.77985393721989
A,shrink_lambda0.9,Q_nll,33,-5.737715910017398,10.275718616161615,4.538002706144219,-11.490907087455899,-1.482641562715019
A,shrink_lambda0.9,UNION,50,-3.8770305779833074,8.293690380000001,4.416659802016693,-7.813180027252553,-1.0650820553647644
